"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061614","GO:0061614","miRNA transcription","35/4700","76/18860",0.460526315789474,1.8479843225084,4.2675361828138,4.9645915752203e-05,0.00323276734069792,0.00264240125513803,"ATOH8/BMP2/BMP4/BMPR1A/EGR1/ESR1/FOS/FOXA1/FOXO3/GATA2/HIF1A/MRTFB/MYB/MYCN/MYOCD/NCOR2/NFATC3/NGFR/NOTCH3/NR1H2/POU2F1/PPARG/RELA/REST/SMAD1/SMAD3/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1/TGFB2/VEGFA/YY1",35
"GO:1990845","GO:1990845","adaptive thermogenesis","66/4700","171/18860",0.385964912280702,1.54878686076894,4.15322405310234,5.01442227585306e-05,0.00323276734069792,0.00264240125513803,"ABHD6/ACOT11/ACOT13/ACTN3/ACVR2B/ADCYAP1/ADIPOR2/ADRB1/ADRB2/ADRB3/ALMS1/APC/BMAL1/CAV1/CIDEA/CKB/CLSTN3/CNOT3/DECR1/DYNC1H1/EHMT1/EPAS1/FABP5/GADD45G/GNAS/GPR3/HADH/HCRT/HSF1/IGF1R/IL13/IL4R/JAK2/KDM3A/KDM6B/LAMA4/LEP/LEPR/LNPEP/LPIN1/MCRIP2/MFN2/NOTCH1/NPR3/NR1H2/PGAM5/PLCL1/PLCL2/PPARGC1A/PRDM16/PWWP2B/QKI/RB1/RBPJ/SCD/SLC25A4/SLC25A44/SMARCA4/SORL1/STAT6/STK11/SYK/TRPV2/TSHR/VEGFA/ZNF516",66
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","89/4700","246/18860",0.361788617886179,1.45177304964539,4.10908051406924,5.08558132389039e-05,0.00324552553579187,0.00265282955608785,"ACTB/ACTL6A/ACVR1B/APC/APPL1/ARID1A/ARID1B/ARID2/BCL7A/CCNA1/CCNB1/CCND1/CCND2/CCNE1/CCNF/CCNG2/CCNJ/CCNJL/CDC34/CDC6/CDC7/CDC73/CDK10/CDKN1B/CDKN2C/CDKN3/CPSF3/CTDSP1/CTDSPL/CUL1/CUL4A/DACT1/DBF4/DGKZ/DPF2/E2F3/EIF4EBP1/EIF4G1/FBXO31/GIGYF2/GPR132/HINFP/ID2/ID4/ITGB1/JADE1/KHDRBS1/KLF11/KMT2E/LSM11/MDM2/MEPCE/MIR193A/MIR638/MYB/PKD1/PKD2/PLCB1/PLK3/PLK5/POLE/PRKDC/PSME1/PSME2/PSME3/PTEN/PTENP1-AS/RB1/RBBP8/RBL2/RCC1/RHOU/RPS6KB1/RRM2/SENP2/SMARCA2/SMARCA4/SMARCD1/SMARCD2/SPDYA/TCF3/TFDP1/TMEM14B/UBE2E2/USP29/USP38/WAC/WEE1/ZNF655",89
"GO:0060562","GO:0060562","epithelial tube morphogenesis","118/4700","344/18860",0.343023255813953,1.3764720435428,4.05989684662245,5.42233475180927e-05,0.00340674725708817,0.00278460906070785,"ABL1/ADAMTS16/APAF1/ARHGAP35/ARL13B/ASB2/BBS5/BMP2/BMP4/BRD2/BSG/CCM2/CLIC4/CSNK2B/CTNNB1/DAG1/DDR1/DLL1/DNAAF1/DVL1/EDNRA/ESR1/ETV5/FGF8/FOXA1/FOXF1/FOXH1/FUZ/FZD3/GDF7/GLI2/GREM1/GZF1/HHIP/HIF1A/HMGA2/HOXB7/HS2ST1/HS3ST3A1/IFT122/KDM2B/KIF26B/LAMA5/LBX1/LHX1/LHX2/LMO4/LZTS2/MDK/MEF2C/MEGF8/MET/MIB1/MICAL2/MTHFD1/MTHFD1L/MYCN/NDRG4/NKX2-1/NKX2-5/NOG/NOTCH1/NPNT/NTN1/OPA1/OSR1/PAX2/PBX1/PHACTR4/PIK3CD/PKD1/PKD2/PLXND1/PML/PRICKLE1/PRKACB/PTCH1/PTK7/RASIP1/RBM15/RBPJ/RDH10/RET/RGMA/RHOA/RNF207/RPS7/SCRIB/SEC24B/SEMA3E/SHH/SKI/SLIT2/SMAD3/SMAD4/SOX8/SPINT1/SPINT2/SRC/ST14/SUFU/TBX2/TFAP2C/TGFB2/TGIF1/TMED2/TSC2/TULP3/VASP/VDR/VEGFA/WNT1/WNT11/WNT2B/WNT3A/WNT5A/WNT9B/YAP1",118
"GO:0098815","GO:0098815","modulation of excitatory postsynaptic potential","26/4700","51/18860",0.509803921568627,2.04572382144347,4.30820012183305,5.44605053760534e-05,0.00340674725708817,0.00278460906070785,"ADRB2/BAIAP2/CBLN1/CELF4/CHRNA7/CUX2/DVL1/GRIK2/GRIN1/GRIN2C/LRRK2/NETO1/NLGN1/NLGN2/NRXN1/PRKCZ/PRKN/PTEN/RIMS1/RIMS2/S1PR2/SSH1/STX1A/TBC1D24/TMEM108/TMEM25",26
"GO:0007389","GO:0007389","pattern specification process","159/4700","486/18860",0.327160493827161,1.31281849225112,4.02518021752036,5.54106412430726e-05,0.00343220030758561,0.00280541388997435,"ACVR2A/ACVR2B/ADGRG1/APC/APC2/ARL13B/ASB2/ATM/BASP1/BBS5/BMI1/BMP1/BMP2/BMP4/BMPR1A/BMPR2/C3/CFAP52/CHRD/CIMAP3/CRAMP1/CTNNB1/CYP26C1/DAW1/DISP1/DLL1/DLX1/DNAAF1/DNAAF3/DNAI1/DVL1/DYNC2H1/EED/EMX1/EMX2/FBXL15/FGF8/FGFR1/FOXA1/FOXC1/FOXF1/FOXG1/FOXH1/FRS2/FST/FUZ/GALNT11/GDF11/GLI1/GLI2/GREM1/GSC/GSX2/HES4/HES6/HES7/HEY1/HEY2/HHEX/HHIP/HIF1A/HOXA6/HOXA7/HOXB2/HOXB6/HOXB7/HOXC9/HOXD10/HOXD3/HOXD8/IFT122/ISL1/ITGAM/KDM2B/LAMA5/LBX1/LEFTY1/LEFTY2/LFNG/LHX1/LHX2/MDFI/MEF2C/MEGF8/MEIS1/MEIS3P1/MIB1/MICAL2/MICOS10-NBL1/NBL1/NCLN/NDRG4/NEK8/NKX2-1/NKX2-5/NOG/NOMO1/NOMO3/NOTCH1/NR2F2/NRG3/NRP2/ODAD2/ODAD4/OSR1/OTX1/PAX2/PAX7/PBX1/PBX3/PCSK6/PIERCE2/PKD2/POFUT1/PPP2R3A/PRICKLE1/PRKDC/PTCH1/RAX/RBPJ/RIPPLY2/RNF111/RNF2/RNF207/SEMA3F/SHH/SKI/SMAD1/SMAD2/SMAD3/SMAD4/SMAD5/SMAD6/SOX1/SUFU/SYNGAP1/TBR1/TBX2/TDRD1/TDRD5/TDRD7/TGIF1/TIGD5/TLL1/TMED2/TRAF3IP1/TULP3/UNCX/VAX2/WDR19/WNT1/WNT11/WNT2B/WNT3A/WNT5A/YY1/ZBTB16/ZEB1/ZIC1",159
"GO:2000630","GO:2000630","positive regulation of miRNA metabolic process","31/4700","65/18860",0.476923076923077,1.91378068739771,4.2516168631124,5.76730703372867e-05,0.00353765493583473,0.00289161045554142,"ATOH8/BMP2/BMPR1A/EGR1/FOS/FOXA1/FOXO3/GATA2/HIF1A/HOTTIP/HRAS/MRTFB/MYB/MYCN/MYOCD/NFKB1/NGFR/NOTCH3/NR1H2/POU2F1/PPARG/RELA/SMAD1/SMAD3/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1/TGFB2",31
"GO:0016236","GO:0016236","macroautophagy","135/4700","403/18860",0.334987593052109,1.34422680956655,4.02432726618421,5.89591956242628e-05,0.00358177113417397,0.0029276701794801,"ABI2/ADRB2/AFG2B/AP4M1/AP5Z1/ARHGAP26/ARL8B/ARMC3/ATG10/ATG16L2/ATG4B/ATG4D/ATG7/ATG9B/ATM/ATP2A2/ATP6V0A1/ATP6V0A2/ATP6V0B/ATP6V0C/ATP6V0D1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1C2/ATP6V1G1/BAG3/BNIP3L/CALM1/CAPN1/CAPNS1/CDK5R1/CERS1/CHMP2A/CHMP2B/CHMP5/CHMP6/CHMP7/CTSD/CTTN/CUL1/DNM1L/EIF2S1/EMC6/EPHB2/EPM2A/GAA/GAPDH/GBA1/GPSM1/GSK3A/HGS/HIF1A/HK2/HSPB8/HTRA2/HTT/LARP1/LRRK2/LRSAM1/MAP1LC3B/MAPK8/MCOLN1/MFN2/NIPSNAP2/NOD1/NOD2/PACS2/PDCD6IP/PEX10/PGAM5/PIK3C3/PIK3CA/PINK1/PIP4K2A/PIP4K2B/PIP4K2C/PJVK/PLEKHM1/PRKN/RAB1B/RAB2A/RAB33B/RALB/RETREG2/RIMOC1/RIPK2/RNF213/RNF31/RNF5/RPS6KB1/SCOC/SH3GLB1/SLC25A4/SNX32/SNX6/SNX7/SPATA33/SQSTM1/SRC/SREBF1/STBD1/STUB1/STX12/STX17/SUPT5H/SYK/TBC1D12/TBC1D14/TBK1/TCIRG1/TEX264/TIGAR/TRIM13/TRIM32/TSC2/UBE3C/UBXN2A/UBXN2B/UFL1/ULK1/ULK3/USP30/USP7/VCP/VPS13D/VPS26B/VPS28/VPS36/VPS37A/WAC/WIPI2/ZNRF1/ZNRF2",135
"GO:0030178","GO:0030178","negative regulation of Wnt signaling pathway","70/4700","185/18860",0.378378378378378,1.51834387579068,4.08178535585604,6.33970863781315e-05,0.00379275132147271,0.00310012128807336,"APC/APC2/APCDD1/BMP2/CAV1/CHD8/CTNNB1/CYLD/DACT1/DKK3/DRAXIN/EGR1/FGF9/FOXO3/FRMD8/FUZ/G3BP1/GLI1/GREM1/GSC/GSK3A/HIC1/HMGA2/IGFBP2/IGFBP6/ISL1/JADE1/LIMD1/LRP1/LZTS2/MAD2L2/MAPK14/MDFI/MDK/MIR199A1/MIR203A/MIR212/NFATC1/NKD2/NKX2-5/NOG/NOTCH1/NPHP4/PPP2R3A/PRICKLE1/PRKN/PTPRO/PTPRU/RBMS3/RNF213/SDHAF2/SHH/SHISA6/SMAD4/SNAI2/SOX13/STK11/TCF7L2/TLE4/TLE5/TMEM131L/TMEM170B/TSC2/TSKU/UBAC2/VGLL4/WNT11/WNT5A/WNT5B/WWOX",70
"GO:0033044","GO:0033044","regulation of chromosome organization","88/4700","244/18860",0.360655737704918,1.44722706662016,4.05094587124872,6.36327382203399e-05,0.00379275132147271,0.00310012128807336,"ACTB/ACTL6A/ANAPC11/ANAPC2/APC/ARID1A/ARID1B/ARID2/ATM/BCL7A/BUB1B/BUB3/CCNB1/CCT5/CCT6A/CDC16/CDC20/CDC6/CENPF/CHFR/CTCF/CTNNB1/DCP2/DDX11/DPF2/ERCC4/FEN1/GEN1/H3-3A/HASPIN/HNRNPA1/INO80C/INO80E/KAT2B/KNL1/LMNA/MAD1L1/MAD2L2/MAP2K7/MAPKAPK5/MAPT/MCPH1/NABP2/NAT10/NCAPG/NCAPH/NEK2/NEK6/NEK7/NSMCE2/NSMCE4A/PARP3/PKIB/PLK1/PML/PNKP/PSMG2/RB1/RMI2/RNF4/RTEL1/SENP6/SETMAR/SKA1/SMARCA2/SMARCA4/SMARCA5/SMARCD1/SMARCD2/SMC4/SMC5/SPC25/SPDL1/SRC/TACC3/TCP1/TENT4B/TERF2IP/TFPT/TNKS2/TRIP13/TTK/UPF1/USP7/XRCC3/XRCC5/YLPM1/YY1",88
"GO:0007249","GO:0007249","canonical NF-kappaB signal transduction","122/4700","359/18860",0.33983286908078,1.36366976826883,4.00805299394542,6.51819569139338e-05,0.00382343454342661,0.00312520115793655,"ABL1/ADAM8/AKAP13/ARRB2/ATP2C1/BCL3/C15orf39/CAPN3/CARD11/CARD19/CARD9/CASP7/CAV1/CC2D1A/CFLAR/CHRNA7/CTH/CUL1/CXXC5/CYLD/DDX1/DNAJA3/EDNRA/ESR1/F2R/FADD/GAPDH/GPR89A/GSTP1/HACD3/HSPB1/IFIT5/IKBKB/IL1R1/INAVA/INS/IRAK4/ITCH/JMJD8/LIMS1/LURAP1/MALT1/MAP2K5/MAP3K3/MAVS/MIB2/MIER1/MIR199A1/MTDH/MYO18A/NAGK/NDFIP1/NEK6/NFAT5/NFKB1/NFKB2/NFKBIB/NKIRAS2/NLRX1/NOD1/NOD2/NR2C2/PDPK1/PELI2/PIAS4/PIDD1/PINK1/PLEKHG5/PPM1A/PPP5C/PRKCB/PRKCE/PRKN/PSMA6/PYCARD/RBCK1/REL/RELA/RELB/RHOA/RIPK1/RIPK2/RNF123/RNF31/ROR1/SECTM1/SIRPA/SIVA1/SLC20A1/SLC44A2/SLCO3A1/SPHK2/SPI1/SQSTM1/TBK1/TERF2IP/TFG/TIRAP/TLR2/TLR9/TNFRSF10B/TNFRSF1A/TRAF2/TRAF3/TRAF4/TRAF5/TRIM13/TRIM32/TRIM39/TRIM8/UBE2I/UFL1/UNC5CL/USP10/USP20/VAPA/VCP/VEGFA/WNT5A/ZDHHC17/ZFAND6/ZMYND11",122
"GO:0051962","GO:0051962","positive regulation of nervous system development","102/4700","291/18860",0.350515463917526,1.40653652116692,4.02650678648036,6.53578554431899e-05,0.00382343454342661,0.00312520115793655,"ADGRB3/AGRN/ANAPC2/ATXN1/BAIAP2/BMP2/BMPR2/CAPRIN1/CBLN1/CDH4/CLSTN3/CTNNB1/CUL7/CUX1/CUX2/DAG1/DBN1/DISC1/EPHB1/EPHB2/EPHB3/ETV5/FLRT1/FLRT2/FOXG1/FZD3/GFAP/GOLGA4/GRID2/GSX2/HIF1A/ID2/ID4/ISLR2/ITGB1/ITPKA/KIT/LIMK1/LRRC24/LRRN1/LRRTM1/LRTM2/MACF1/MAPRE3/MAPT/MDK/MEGF8/MME/MYB/NEURL1/NLGN1/NLGN2/NOTCH1/NR2E1/NRXN1/NTN1/NTRK1/NTRK2/NUMBL/OBSL1/PAFAH1B1/PLXNC1/PLXND1/POU4F2/PRKCA/PRKCH/PTPRZ1/QKI/RASSF10/RELA/RND2/ROBO3/RTN4RL2/RUFY3/SERPINF1/SHH/SKIL/SLC7A5/SLIT2/SOX11/SOX8/SPEN/SPINT1/SRRT/SS18L1/ST8SIA2/STK11/SYNDIG1/TBC1D24/TGM2/TNFRSF1B/TP73/TRAK1/TRIM32/TRPV2/TTBK1/UFL1/VEGFA/WDR62/WNT3A/XRCC5/ZFYVE27",102
"GO:1902414","GO:1902414","protein localization to cell junction","51/4700","125/18860",0.408,1.6372085106383,4.1180001490049,6.62084022685703e-05,0.00383765766543878,0.00313682686170551,"ACTB/ARHGAP44/ARHGEF18/BAIAP2/BSN/CACNA2D2/CGNL1/CLSTN3/CNIH3/CPLX1/DAG1/DSG2/DSP/DVL1/ERBB2/GIT1/GPC6/GPHN/GPSM2/GRIN2C/HEG1/HRAS/HSPB1/JAM3/KIF2C/LRRC7/LRRTM1/LSR/MAP1A/MAPK8IP3/MAPT/MARVELD3/NECTIN3/NETO1/NLGN1/NLGN2/NRXN1/NRXN2/NSG1/OLFM1/PECAM1/RAB11A/RAB8A/SCRIB/STX3/TJP2/TMEM108/VPS26B/VWC2/WNT5A/ZDHHC7",51
