"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006302","GO:0006302","double-strand break repair","59/1803","334/18860",0.176646706586826,1.84778529463536,5.0824621332879,2.62375578191812e-06,0.00115283792510125,0.00107350914704715,"ACTB/AP5S1/APLF/ARID1B/ATM/BABAM2/BCL7A/CDC7/CHD4/DDX11/DPF2/EPC2/ERCC4/FAN1/FUS/GEN1/HMGA2/HSF1/INTS3/KASH5/KDM2A/LIG3/MCM2/MCM4/MCMDC2/MLH1/MORF4L1/MRGBP/NABP2/NSMCE2/NSMCE4A/OGG1/PARP2/PARP3/PIAS1/PIAS4/PML/PPP4R2/PPP5C/PRDM9/RAD51AP1/RBBP8/RMI1/RPA1/RTEL1/SENP3/SETMAR/SFR1/SHLD2/SMARCA4/SMC5/SMCHD1/SPIRE2/SPO11/TDP1/TENT4A/UHRF1/YEATS4/YY1",59
"GO:0000280","GO:0000280","nuclear division","74/1803","453/18860",0.163355408388521,1.70875374498475,4.96430927872391,3.14730272527093e-06,0.00128409951191054,0.0011957383963003,"ANAPC11/ANLN/APC/ARHGEF10/ATM/BCCIP/BROX/BUB3/CCDC86/CCNB1/CDC14A/CDC25B/CDC42/CDK1/CDT1/CENPF/CEP192/CHMP2B/CHMP5/CHMP7/CKS2/DMRT1/EML4/ERCC4/FZR1/GEN1/HASPIN/HSF1/IGF2/ING2/KASH5/KIF11/KIF2A/KNL1/L3MBTL1/MAEL/MCMDC2/MEIOSIN/MIS12/MLH1/MSH4/MSH5/MYBL2/NCAPH/NDEL1/NSMCE2/PPP2R2D/PRDM9/PSMA8/RAB24/RAD51AP1/RAN/RCC1/RHOA/RMI1/SEH1L/SIRT7/SKA1/SLC25A31/SMARCA5/SMC4/SPAST/SPC25/SPDL1/SPIRE2/SPO11/STAG3/TENT4A/TOP6BL/TUBG1/TUBG2/UBB/UBE2I/UHRF1",74
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","31/1803","136/18860",0.227941176470588,2.38434308831686,5.26768435338019,3.66737365042915e-06,0.00139653588608342,0.00130043782846446,"APC/ATM/BABAM2/BRSK1/BUB3/CCNB1/CCND1/CDC6/CDK1/CENPF/DTL/FZR1/GEN1/HASPIN/INTS3/KNL1/NABP2/PABIR1/PLK3/RAD9A/RBBP8/SETMAR/SKA1/SPC25/SPDL1/TAOK1/TAOK2/TAOK3/TRIM39/WAC/ZFYVE19",31
"GO:0098813","GO:0098813","nuclear chromosome segregation","57/1803","323/18860",0.176470588235294,1.84594303611628,4.98572734726746,3.97759972466872e-06,0.00142000310170673,0.00132229022425994,"ACTB/ANAPC11/APC/ARHGEF10/ARID1B/ATM/BCCIP/BCL7A/BUB3/CCNB1/CDC42/CDC6/CDK1/CDT1/CENPF/CEP192/CHMP2B/CHMP5/CHMP7/DPF2/DYNC1H1/EML4/GEN1/HASPIN/KASH5/KIF11/KIF2A/KNL1/MAEL/MCMDC2/MIS12/MLH1/MSH4/MSH5/MYBL2/NCAPH/NEK6/NSMCE2/PRDM9/RAB24/RAN/RCC1/RHOA/SEH1L/SIRT7/SKA1/SMARCA4/SMARCA5/SMC4/SPC25/SPDL1/SPO11/STAG3/TENT4A/TUBG1/TUBG2/UHRF1",57
"GO:0010586","GO:0010586","miRNA metabolic process","26/1803","108/18860",0.240740740740741,2.51823093198578,5.14436511857694,7.67060455815561e-06,0.00257732313154029,0.00239997305463531,"AGO1/BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/KHSRP/KLF4/MRTFB/MYB/MYCN/NFATC3/NR1H2/PAX6/POU2F1/PPARG/QKI/SMAD4/SMAD6/SMARCA4/SPI1/SREBF1/TEAD1/TENT2/YY1",26
"GO:0000819","GO:0000819","sister chromatid segregation","44/1803","233/18860",0.188841201716738,1.97534390703144,4.87046186685272,8.54259425781715e-06,0.00271084991114731,0.00252431162483918,"ACTB/ANAPC11/APC/ARHGEF10/ARID1B/ATM/BCCIP/BCL7A/BUB3/CCNB1/CDC6/CDK1/CDT1/CENPF/CEP192/CHMP2B/CHMP5/CHMP7/DPF2/EML4/GEN1/HASPIN/KIF11/KIF2A/KNL1/MIS12/MYBL2/NCAPH/NEK6/NSMCE2/RAN/RCC1/RHOA/SEH1L/SKA1/SMARCA4/SMARCA5/SMC4/SPC25/SPDL1/TENT4A/TUBG1/TUBG2/UHRF1",44
"GO:0051052","GO:0051052","regulation of DNA metabolic process","77/1803","497/18860",0.154929577464789,1.62061665612086,4.55864394918812,1.44534311336301e-05,0.00434515782291026,0.00404615997330929,"ACTB/APLF/ARID1B/ATM/BABAM2/BCL7A/CAMSAP3/CCT5/CDC6/CDC7/CDK1/CDT1/CHRAC1/CHTF18/DDX11/DFFB/DHX9/DPF2/DYNLL1/ENDOG/EPC2/ERCC4/FUS/GMNN/H1-10/HCRT/HMGA2/HNRNPA1/HSF1/ING5/INO80C/INO80E/KAT7/KLF4/LIG3/MAP2K7/MCM2/MCM4/MLH1/MORF4L1/MRGBP/NABP2/NAT10/NSMCE2/NSMCE4A/OGG1/PARP3/PIAS4/PKIB/PML/POLH/PPP4R2/PRDM9/RAD51AP1/RFC3/RTEL1/SENP2/SENP3/SETMAR/SHLD2/SIRT7/SMARCA4/SMARCA5/SMC5/SMCHD1/SPIRE2/TADA2B/TFDP1/TIGAR/TNKS2/TRIM28/UPF1/USP1/WRNIP1/YEATS4/YLPM1/YY1",77
"GO:0006007","GO:0006007","glucose catabolic process","12/1803","32/18860",0.375,3.92262895174709,5.37963047756549,2.05052885626145e-05,0.00583887860249276,0.00543709523411395,"ACTN3/BAD/ENO2/ENO3/FOXK1/FOXK2/GPI/LDHA/PFKM/PFKP/PGAM1/TIGAR",12
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","59/1803","357/18860",0.165266106442577,1.72874030366445,4.51951353949033,2.1466465450341e-05,0.00583887860249276,0.00543709523411395,"ACTB/ANAPC11/ANLN/APC/ARID1B/ATM/BABAM2/BCL7A/BRSK1/BUB3/CCNB1/CCND1/CDC14A/CDC25B/CDC6/CDC7/CDC73/CDK1/CDK10/CDKN2C/CENPF/CPSF3/DACT1/DPF2/DTL/FZR1/GEN1/HASPIN/ID2/INTS3/KLF4/KNL1/MARK3/MEPCE/NABP2/NEK6/NSMCE2/PABIR1/PKD1/PKD2/PLK3/RBBP8/RBL2/SENP2/SKA1/SMARCA4/SPC25/SPDL1/TAOK1/TAOK2/TAOK3/TFDP1/TMEM14B/TMOD3/TPRA1/TRIM39/UBE2E2/WAC/ZFYVE19",59
"GO:0140014","GO:0140014","mitotic nuclear division","49/1803","281/18860",0.174377224199288,1.82404572845179,4.52479777245307,2.54859221997826e-05,0.00649385566244303,0.00604700218603948,"ANAPC11/ANLN/APC/ARHGEF10/ATM/BCCIP/BROX/BUB3/CCDC86/CCNB1/CDC14A/CDC42/CDK1/CDT1/CENPF/CEP192/CHMP2B/CHMP5/CHMP7/DMRT1/EML4/GEN1/HASPIN/IGF2/KIF11/KIF2A/KNL1/L3MBTL1/MIS12/MYBL2/NCAPH/NDEL1/NSMCE2/PPP2R2D/RAN/RCC1/RHOA/SEH1L/SKA1/SMARCA5/SMC4/SPAST/SPC25/SPDL1/TENT4A/TUBG1/TUBG2/UBE2I/UHRF1",49
